,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
0,0.9771825075149536,0.9892051219940186,0.9831570386886597,83.335215247255,"[21, 18, 16, 14]","[22, 21, 20, 19]","[95.45454545454545, 85.71428571428571, 80.0, 73.6842105263158]",1.0,22,22,0.9523809523809523,0.7500000000000001,0.8571428571428572,0.8571428571428572
1,1.0,1.0,1.0,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
2,0.9090179800987244,0.8917672634124756,0.9003099799156189,59.97528052612257,"[23, 21, 14, 8]","[25, 24, 23, 22]","[92.0, 87.5, 60.869565217391305, 36.36363636363637]",0.9231163463866358,25,27,0.8571428571428572,0.5238095238095238,0.4285714285714286,0.4285714285714286
3,0.9944350123405457,0.9771824479103088,0.9857332110404968,78.56293018010261,"[10, 8, 6, 4]","[10, 9, 8, 7]","[100.0, 88.88888888888889, 75.0, 57.142857142857146]",1.0,10,10,0.9,0.7777777777777777,0.9,0.9
4,0.9416002035140991,0.9176434278488159,0.9174478650093079,21.200626759025184,"[8, 4, 1, 0]","[11, 10, 9, 8]","[72.72727272727273, 40.0, 11.11111111111111, 6.25]",1.0,11,10,0.5833333333333334,0.3636363636363637,0.5,0.5
5,0.9092566967010498,0.9064685106277466,0.9071981310844421,47.487595535766076,"[35, 22, 13, 9]","[38, 37, 36, 35]","[92.10526315789474, 59.45945945945946, 36.111111111111114, 25.714285714285715]",1.0,38,38,0.75,0.46153846153846156,0.4776119402985075,0.4776119402985075
6,0.9503723382949829,0.9480959177017212,0.9461857080459595,45.499414040480374,"[13, 9, 6, 2]","[15, 14, 13, 12]","[86.66666666666667, 64.28571428571429, 46.15384615384615, 16.666666666666668]",1.0,15,15,0.888888888888889,0.5,0.46153846153846156,0.46153846153846156
7,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
8,0.8869873881340027,0.8955996036529541,0.8881393671035767,39.33172938363535,"[21, 14, 8, 5]","[28, 27, 26, 25]","[75.0, 51.851851851851855, 30.76923076923077, 20.0]",1.0,28,27,0.6521739130434783,0.4090909090909091,0.48,0.48
9,0.936442494392395,0.8570787906646729,0.8947477340698242,66.67072847012402,"[25, 20, 16, 14]","[28, 27, 26, 25]","[89.28571428571429, 74.07407407407408, 61.53846153846154, 56.0]",0.9649159443723699,28,29,0.7843137254901961,0.6530612244897959,0.7450980392156864,0.7450980392156864
10,0.9799531698226929,0.9799531698226929,0.9799531698226929,48.892302243490086,"[6, 4, 2, 1]","[7, 6, 5, 4]","[85.71428571428571, 66.66666666666667, 40.0, 25.0]",1.0,7,7,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571
11,0.958755373954773,0.9627800583839417,0.9607634544372559,73.04997445393502,"[28, 24, 20, 16]","[31, 30, 29, 28]","[90.3225806451613, 80.0, 68.96551724137932, 57.142857142857146]",1.0,31,30,0.896551724137931,0.7857142857142857,0.7241379310344829,0.7241379310344829
12,0.969342052936554,0.944835901260376,0.9569321274757385,71.54551300111906,"[30, 25, 20, 15]","[30, 29, 28, 27]","[100.0, 86.20689655172414, 71.42857142857143, 55.55555555555556]",0.9355069850316178,30,32,0.823529411764706,0.4897959183673469,0.6666666666666667,0.6666666666666667
