,med_scores,record_idx,f1_scores
86,17.555555555555557,15192,1.0
88,17.77777777777778,15192,0.6666666666666666
90,17.555555555555557,15192,1.0
110,0.0,14857,1.0
112,0.0,14857,1.0
114,0.0,14857,1.0
172,21.25,15929,0.888888888888889
174,21.4,15929,0.6666666666666665
176,22.25,15929,0.6666666666666665
214,13.0,14962,0.5
216,11.75,14962,0.5
218,13.25,14962,0.5
222,9.0,14919,1.0
224,9.0,14919,1.0
226,9.0,14919,1.0
228,29.52,15900,1.0
230,28.266666666666666,15900,0.7272727272727272
316,5.0,14910,1.0
318,5.0,14910,1.0
320,5.0,14910,1.0
370,0.0,14853,1.0
372,0.0,14853,1.0
394,20.444444444444443,15402,0.6666666666666666
396,20.555555555555557,15402,0.3333333333333333
398,21.0,15402,0.3333333333333333
442,25.52,15919,1.0
444,25.6,15919,0.8000000000000002
446,25.48,15919,0.8000000000000002
534,0.0,14535,1.0
536,0.0,14535,1.0
538,0.0,14535,1.0
648,17.5,15572,1.0
650,17.5,15572,1.0
652,17.5,15572,1.0
656,18.083333333333332,15775,0.8571428571428571
658,18.375,15775,0.75
660,18.083333333333332,15775,0.8571428571428571
670,16.666666666666668,15031,0.4
672,15.5,15031,1.0
674,19.0,15031,0.0
676,9.0,15056,1.0
678,9.0,15056,1.0
680,9.0,15056,1.0
710,12.0,15066,1.0
712,12.0,15066,1.0
714,15.25,15066,0.5
752,25.96,15951,0.8000000000000002
754,25.96,15951,0.8000000000000002
922,8.0,14822,0.0
924,0.0,14822,1.0
926,0.0,14822,1.0
934,21.444444444444443,15426,0.6666666666666666
936,22.666666666666668,15426,0.3333333333333333
938,21.444444444444443,15426,0.6666666666666666
948,0.0,14791,1.0
950,0.0,14791,1.0
952,0.0,14791,1.0
1000,0.0,14600,1.0
1002,0.0,14600,1.0
1030,9.5,15002,1.0
1032,9.5,15002,1.0
1198,0.0,14549,1.0
1200,0.0,14549,1.0
1202,22.25,15705,1.0
1204,20.416666666666668,15705,0.8571428571428571
1304,26.833333333333332,15340,0.0
1306,20.22222222222222,15340,0.6666666666666666
1308,22.333333333333332,15340,0.4
1408,30.333333333333332,15232,0.3333333333333333
1410,22.22222222222222,15232,0.6666666666666666
1412,21.77777777777778,15232,0.6666666666666666
1430,18.8,15865,0.4000000000000001
1432,19.15,15865,0.22222222222222224
1434,18.0,15865,0.5454545454545454
1436,6.5,15139,1.0
1438,6.5,15139,1.0
1440,13.75,15139,0.0
1448,25.0,14570,0.0
1450,0.0,14570,1.0
1452,0.0,14570,1.0
1454,0.0,14570,1.0
1456,19.0,14570,0.6666666666666666
1518,16.0,15178,1.0
1520,16.0,15178,1.0
1522,23.28,15835,1.0
1524,23.36,15835,0.6
1546,9.5,14896,1.0
1570,22.64,15997,1.0
1572,22.75,15997,0.888888888888889
1574,22.04,15997,0.8000000000000002
1594,19.833333333333332,15211,0.8
1596,19.666666666666668,15211,0.4
1598,19.833333333333332,15211,0.8
1638,15.5,15072,1.0
1640,15.5,15072,1.0
1642,15.5,15072,1.0
1646,11.5,15010,1.0
1648,11.5,15010,1.0
1650,11.5,15010,1.0
1744,13.0,15067,1.0
1746,13.0,15067,1.0
1776,14.166666666666666,15717,0.8571428571428571
1778,14.166666666666666,15717,0.8571428571428571
1798,23.3,15872,0.888888888888889
1800,25.35,15872,0.888888888888889
1802,24.56,15872,1.0
1920,8.0,14936,1.0
1922,8.0,14936,0.6666666666666666
1924,10.5,14936,0.5
1950,19.0,15145,1.0
1952,19.25,15145,0.0
1954,27.0,15145,0.0
1956,16.77777777777778,15252,0.6666666666666666
1958,16.77777777777778,15252,0.6666666666666666
1960,16.77777777777778,15252,0.6666666666666666
2016,39.583333333333336,15532,0.4
2018,44.375,15532,0.5
2020,42.8125,15532,0.25
2068,1.0,14802,0.0
2158,11.0,15068,0.5
2160,13.25,15068,0.5
