,sd
86,"{'ANDREWSCOUNTYAIRPORT|RUNWAYLENGTH|1773.0', 'ANDREWSCOUNTYAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|973.0', 'ANDREWSCOUNTYAIRPORT|LOCATION|TEXAS'}"
88,"{'ANDREWSCOUNTYAIRPORT|RUNWAYLENGTH|1773.0', 'ANDREWSCOUNTYAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|973.0', 'ANDREWSCOUNTYAIRPORT|LOCATION|TEXAS'}"
90,"{'ANDREWSCOUNTYAIRPORT|RUNWAYLENGTH|1773.0', 'ANDREWSCOUNTYAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|973.0', 'ANDREWSCOUNTYAIRPORT|LOCATION|TEXAS'}"
110,{'1634:THERAMREBELLION|AUTHOR|ERICFLINT'}
112,{'1634:THERAMREBELLION|AUTHOR|ERICFLINT'}
114,{'1634:THERAMREBELLION|AUTHOR|ERICFLINT'}
172,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'TEXAS|LANGUAGE|ENGLISHLANGUAGE', 'POTTERCOUNTY,TEXAS|STATE|TEXAS', 'TEXAS|CAPITAL|AUSTIN,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES'}"
174,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'TEXAS|LANGUAGE|ENGLISHLANGUAGE', 'POTTERCOUNTY,TEXAS|STATE|TEXAS', 'TEXAS|CAPITAL|AUSTIN,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES'}"
176,"{'AMARILLO,TEXAS|ISPARTOF|POTTERCOUNTY,TEXAS', 'TEXAS|LANGUAGE|ENGLISHLANGUAGE', 'POTTERCOUNTY,TEXAS|STATE|TEXAS', 'TEXAS|CAPITAL|AUSTIN,TEXAS', 'POTTERCOUNTY,TEXAS|COUNTRY|UNITEDSTATES'}"
214,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
216,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
218,"{'ROPS|LEAGUE|VEIKKAUSLIIGA', 'AKEEMPRIESTLEY|CLUB|ROPS'}"
222,"{'ALFREDOZITARROSA|BACKGROUND|SOLOSINGER', 'ALFREDOZITARROSA|GENRE|TAQUIRARI'}"
224,"{'ALFREDOZITARROSA|BACKGROUND|SOLOSINGER', 'ALFREDOZITARROSA|GENRE|TAQUIRARI'}"
226,"{'ALFREDOZITARROSA|BACKGROUND|SOLOSINGER', 'ALFREDOZITARROSA|GENRE|TAQUIRARI'}"
228,"{'DENMARK|LEADERNAME|LARSLOKKERASMUSSEN', 'ACHOTELBELLASKYCOPENHAGEN|LOCATION|DENMARK', 'DENMARK|LANGUAGE|GREENLANDICLANGUAGE', 'MARRIOTTINTERNATIONAL|FOUNDATIONPLACE|WASHINGTON,D.C.', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
230,"{'DENMARK|LEADERNAME|LARSLOKKERASMUSSEN', 'ACHOTELBELLASKYCOPENHAGEN|LOCATION|DENMARK', 'DENMARK|LANGUAGE|GREENLANDICLANGUAGE', 'MARRIOTTINTERNATIONAL|FOUNDATIONPLACE|WASHINGTON,D.C.', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
316,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44'}"
318,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44'}"
320,"{'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MAGIK(RAPPER)', 'ABRADAB|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KALIBER44'}"
370,{'ROMANIA|CAPITAL|BUCHAREST'}
372,{'ROMANIA|CAPITAL|BUCHAREST'}
394,"{'AMCMATADOR|MANUFACTURER|AMERICANMOTORS', 'AMERICANMOTORS|FATE|EAGLE(AUTOMOBILE)', 'AMERICANMOTORS|KEYPERSON|ROYD.CHAPIN,JR.'}"
396,"{'AMCMATADOR|MANUFACTURER|AMERICANMOTORS', 'AMERICANMOTORS|FATE|EAGLE(AUTOMOBILE)', 'AMERICANMOTORS|KEYPERSON|ROYD.CHAPIN,JR.'}"
398,"{'AMCMATADOR|MANUFACTURER|AMERICANMOTORS', 'AMERICANMOTORS|FATE|EAGLE(AUTOMOBILE)', 'AMERICANMOTORS|KEYPERSON|ROYD.CHAPIN,JR.'}"
442,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', '103HERA|PERIAPSIS|371240000.0(KILOMETRES)', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
444,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', '103HERA|PERIAPSIS|371240000.0(KILOMETRES)', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
446,"{'103HERA|DISCOVERER|JAMESCRAIGWATSON', '103HERA|PERIAPSIS|371240000.0(KILOMETRES)', 'JAMESCRAIGWATSON|NATIONALITY|CANADA', 'JAMESCRAIGWATSON|ALMAMATER|UNIVERSITYOFMICHIGAN', 'JAMESCRAIGWATSON|DEATHPLACE|MADISON,WISCONSIN'}"
534,{'ABRADAB|BIRTHDATE|1978-11-12'}
536,{'ABRADAB|BIRTHDATE|1978-11-12'}
538,{'ABRADAB|BIRTHDATE|1978-11-12'}
648,"{'BUZZALDRIN|BIRTHPLACE|GLENRIDGE,NEWJERSEY', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|OCCUPATION|FIGHTERPILOT'}"
650,"{'BUZZALDRIN|BIRTHPLACE|GLENRIDGE,NEWJERSEY', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|OCCUPATION|FIGHTERPILOT'}"
652,"{'BUZZALDRIN|BIRTHPLACE|GLENRIDGE,NEWJERSEY', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11', 'BUZZALDRIN|WASSELECTEDBYNASA|1963', 'BUZZALDRIN|OCCUPATION|FIGHTERPILOT'}"
656,"{'MICHELEMARCOLINI|CLUB|TORINOF.C.', 'A.C.LUMEZZANE|MANAGER|MICHELEMARCOLINI', 'MICHELEMARCOLINI|PLACEOFBIRTH|ITALY', 'MICHELEMARCOLINI|CLUB|A.C.CHIEVOVERONA'}"
658,"{'MICHELEMARCOLINI|CLUB|TORINOF.C.', 'A.C.LUMEZZANE|MANAGER|MICHELEMARCOLINI', 'MICHELEMARCOLINI|PLACEOFBIRTH|ITALY', 'MICHELEMARCOLINI|CLUB|A.C.CHIEVOVERONA'}"
660,"{'MICHELEMARCOLINI|CLUB|TORINOF.C.', 'A.C.LUMEZZANE|MANAGER|MICHELEMARCOLINI', 'MICHELEMARCOLINI|PLACEOFBIRTH|ITALY', 'MICHELEMARCOLINI|CLUB|A.C.CHIEVOVERONA'}"
670,"{'BENURICH|FULLNAME|BENJAMINURICH', 'BENURICH|CREATOR|ROGERMCKENZIE(COMICBOOKWRITER)'}"
672,"{'BENURICH|FULLNAME|BENJAMINURICH', 'BENURICH|CREATOR|ROGERMCKENZIE(COMICBOOKWRITER)'}"
674,"{'BENURICH|FULLNAME|BENJAMINURICH', 'BENURICH|CREATOR|ROGERMCKENZIE(COMICBOOKWRITER)'}"
676,"{'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'BEEFKWAYTEOW|INGREDIENT|PALMSUGAR'}"
678,"{'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'BEEFKWAYTEOW|INGREDIENT|PALMSUGAR'}"
680,"{'BEEFKWAYTEOW|COUNTRY|SINGAPORE', 'BEEFKWAYTEOW|INGREDIENT|PALMSUGAR'}"
710,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE'}"
712,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE'}"
714,"{'BIONICO|COURSE|DESSERT', 'DESSERT|DISHVARIATION|CAKE'}"
752,"{'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LEADER|BARACKOBAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
754,"{'AKRON,OHIO|ISPARTOF|SUMMITCOUNTY,OHIO', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'AKRON,OHIO|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|LEADER|BARACKOBAMA', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
922,{'A.F.C.BLACKPOOL|GROUND|BLACKPOOL'}
924,{'A.F.C.BLACKPOOL|GROUND|BLACKPOOL'}
926,{'A.F.C.BLACKPOOL|GROUND|BLACKPOOL'}
934,"{'ABNERW.SIBAL|MILITARYBRANCH|UNITEDSTATESARMY', 'WORLDWARII|COMMANDER|JOSEPHSTALIN', 'ABNERW.SIBAL|BATTLES|WORLDWARII'}"
936,"{'ABNERW.SIBAL|MILITARYBRANCH|UNITEDSTATESARMY', 'WORLDWARII|COMMANDER|JOSEPHSTALIN', 'ABNERW.SIBAL|BATTLES|WORLDWARII'}"
938,"{'ABNERW.SIBAL|MILITARYBRANCH|UNITEDSTATESARMY', 'WORLDWARII|COMMANDER|JOSEPHSTALIN', 'ABNERW.SIBAL|BATTLES|WORLDWARII'}"
948,{'ADONISGEORGIADIS|INOFFICEWHILEPRIMEMINISTER|ANTONISSAMARAS'}
950,{'ADONISGEORGIADIS|INOFFICEWHILEPRIMEMINISTER|ANTONISSAMARAS'}
952,{'ADONISGEORGIADIS|INOFFICEWHILEPRIMEMINISTER|ANTONISSAMARAS'}
