,med_scores,record_idx,f1_scores
77336,0.0,14495,1.0
77338,0.0,14495,1.0
77340,0.0,14496,1.0
77342,0.0,14496,1.0
77344,0.0,14496,1.0
77346,0.0,14497,1.0
77348,0.0,14497,1.0
77350,0.0,14497,1.0
77352,0.0,14498,1.0
77354,0.0,14498,1.0
77356,0.0,14499,1.0
77358,0.0,14499,1.0
77360,0.0,14500,1.0
77362,0.0,14500,1.0
77364,0.0,14501,1.0
77366,0.0,14501,1.0
77368,0.0,14502,1.0
77370,0.0,14502,1.0
77372,0.0,14502,1.0
77374,0.0,14503,1.0
77376,0.0,14503,1.0
77378,0.0,14503,1.0
77380,3.0,14504,0.0
77382,0.0,14504,1.0
77384,0.0,14504,1.0
77386,0.0,14505,1.0
77388,0.0,14505,1.0
77390,0.0,14505,1.0
77392,0.0,14506,1.0
77394,11.0,14506,0.0
77396,0.0,14506,1.0
77398,0.0,14507,1.0
77400,6.0,14507,0.0
77402,0.0,14508,1.0
77404,0.0,14508,1.0
77406,0.0,14508,1.0
77408,2.0,14509,0.0
77410,0.0,14510,1.0
77412,0.0,14510,1.0
77414,0.0,14510,1.0
77416,2.0,14511,0.0
77418,0.0,14511,1.0
77420,0.0,14512,1.0
77422,0.0,14512,1.0
77424,0.0,14512,1.0
77426,0.0,14513,1.0
77428,2.0,14513,0.0
77430,0.0,14513,1.0
77432,0.0,14514,1.0
77434,0.0,14514,1.0
77436,0.0,14514,1.0
77438,0.0,14515,1.0
77440,0.0,14515,1.0
77442,0.0,14516,1.0
77444,0.0,14516,1.0
77446,0.0,14517,1.0
77448,0.0,14517,1.0
77450,0.0,14517,1.0
77452,0.0,14518,1.0
77454,0.0,14518,1.0
77456,0.0,14518,1.0
77458,12.0,14519,0.0
77460,10.0,14519,0.0
77462,10.0,14519,0.0
77464,0.0,14520,1.0
77466,1.0,14521,0.0
77468,1.0,14521,0.0
77470,0.0,14521,1.0
77472,0.0,14522,1.0
77474,0.0,14522,1.0
77476,0.0,14522,1.0
77478,0.0,14523,1.0
77480,0.0,14523,1.0
77482,0.0,14523,1.0
77484,0.0,14524,1.0
77486,0.0,14524,1.0
77488,0.0,14524,1.0
77490,0.0,14525,1.0
77492,0.0,14525,1.0
77494,0.0,14526,1.0
77496,0.0,14526,1.0
77498,0.0,14526,1.0
77500,7.0,14527,0.0
77502,7.0,14527,0.0
77504,0.0,14528,1.0
77506,27.0,14529,0.0
77508,22.0,14529,0.0
77510,27.0,14529,0.0
77512,0.0,14530,1.0
77514,31.5,14531,0.0
77516,19.5,14531,0.0
77518,18.0,14531,0.0
77520,0.0,14532,1.0
