,sd
77336,"{'ABILENEREGIONALAIRPORT|CITYSERVED|ABILENE,TEXAS'}"
77338,"{'ABILENEREGIONALAIRPORT|CITYSERVED|ABILENE,TEXAS'}"
77340,"{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
77342,"{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
77344,"{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
77346,{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|RUNWAYNAME|18L/36R'}
77348,{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|RUNWAYNAME|18L/36R'}
77350,{'ADOLFOSUAREZMADRID-BARAJASAIRPORT|RUNWAYNAME|18L/36R'}
77352,{'AFONSOPENAINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|SBCT'}
77354,{'AFONSOPENAINTERNATIONALAIRPORT|ICAOLOCATIONIDENTIFIER|SBCT'}
77356,{'AFONSOPENAINTERNATIONALAIRPORT|CITYSERVED|CURITIBA'}
77358,{'AFONSOPENAINTERNATIONALAIRPORT|CITYSERVED|CURITIBA'}
77360,{'AL-TAQADDUMAIRBASE|CITYSERVED|FALLUJAH'}
77362,{'AL-TAQADDUMAIRBASE|CITYSERVED|FALLUJAH'}
77364,{'AL-TAQADDUMAIRBASE|RUNWAYLENGTH|3684.0'}
77366,{'AL-TAQADDUMAIRBASE|RUNWAYLENGTH|3684.0'}
77368,{'ALDERNEYAIRPORT|RUNWAYNAME|14/32'}
77370,{'ALDERNEYAIRPORT|RUNWAYNAME|14/32'}
77372,{'ALDERNEYAIRPORT|RUNWAYNAME|14/32'}
