,med_scores,record_idx,f1_scores
38668,0.0,14495,1.0
38669,0.0,14495,1.0
38670,0.0,14496,1.0
38671,0.0,14496,1.0
38672,0.0,14496,1.0
38673,0.0,14497,1.0
38674,0.0,14497,1.0
38675,0.0,14497,1.0
38676,2.0,14498,0.0
38677,0.0,14498,1.0
38678,0.0,14499,1.0
38679,0.0,14499,1.0
38680,1.0,14500,0.0
38681,0.0,14500,1.0
38682,0.0,14501,1.0
38683,0.0,14501,1.0
38684,0.0,14502,1.0
38685,0.0,14502,1.0
38686,0.0,14502,1.0
38687,0.0,14503,1.0
38688,0.0,14503,1.0
38689,0.0,14503,1.0
38690,20.0,14504,0.0
38691,0.0,14504,1.0
38692,6.0,14504,0.0
38693,0.0,14505,1.0
38694,0.0,14505,1.0
38695,7.0,14505,0.0
38696,0.0,14506,1.0
38697,6.5,14506,0.0
38698,0.0,14506,1.0
38699,2.0,14507,0.0
38700,7.0,14507,0.0
38701,0.0,14508,1.0
38702,0.0,14508,1.0
38703,0.0,14508,1.0
38704,2.0,14509,0.0
38705,3.0,14510,0.0
38706,3.0,14510,0.0
38707,0.0,14510,1.0
38708,2.0,14511,0.0
38709,0.0,14511,1.0
38710,0.0,14512,1.0
38711,0.0,14512,1.0
38712,0.0,14512,1.0
38713,1.0,14513,0.0
38714,2.0,14513,0.0
38715,0.0,14513,1.0
38716,0.0,14514,1.0
38717,2.0,14514,0.0
38718,0.0,14514,1.0
38719,0.0,14515,1.0
38720,0.0,14515,1.0
38721,0.0,14516,1.0
38722,0.0,14516,1.0
38723,0.0,14517,1.0
38724,0.0,14517,1.0
38725,0.0,14517,1.0
38726,0.0,14518,1.0
38727,0.0,14518,1.0
38728,0.0,14518,1.0
38729,7.0,14519,0.0
38730,10.0,14519,0.0
38731,10.0,14519,0.0
38732,0.0,14520,1.0
38733,1.0,14521,0.0
38734,1.0,14521,0.0
38735,1.0,14521,0.0
38736,0.0,14522,1.0
38737,0.0,14522,1.0
38738,0.0,14522,1.0
38739,0.0,14523,1.0
38740,0.0,14523,1.0
38741,0.0,14523,1.0
38742,0.0,14524,1.0
38743,0.0,14524,1.0
38744,0.0,14524,1.0
38745,0.0,14525,1.0
38746,0.0,14525,1.0
38747,0.0,14526,1.0
38748,0.0,14526,1.0
38749,0.0,14526,1.0
38750,7.0,14527,0.0
38751,7.0,14527,0.0
38752,0.0,14528,1.0
38753,25.5,14529,0.0
38754,21.0,14529,0.0
38755,0.0,14529,1.0
38756,0.0,14530,1.0
38757,20.0,14531,0.0
38758,0.0,14531,1.0
38759,0.0,14531,1.0
38760,0.0,14532,1.0
38761,0.0,14532,1.0
38762,1.0,14533,0.0
38763,1.0,14533,0.0
38764,1.0,14533,0.0
38765,0.0,14534,1.0
38766,0.0,14534,1.0
38767,0.0,14534,1.0
38768,0.0,14535,1.0
38769,0.0,14535,1.0
38770,0.0,14535,1.0
38771,0.0,14536,1.0
38772,0.0,14536,1.0
38773,0.0,14537,1.0
38774,0.0,14537,1.0
38775,7.0,14538,0.0
38776,16.0,14538,0.0
38777,8.0,14539,0.0
38778,0.0,14540,1.0
38779,1.0,14540,0.0
38780,0.0,14540,1.0
38781,0.0,14541,1.0
38782,1.0,14542,0.0
38783,1.0,14542,0.0
38784,1.0,14542,0.0
38785,0.0,14543,1.0
38786,0.0,14543,1.0
38787,0.0,14543,1.0
38788,0.0,14544,1.0
38789,0.0,14544,1.0
38790,0.0,14544,1.0
38791,0.0,14545,1.0
38792,0.0,14545,1.0
38793,0.0,14545,1.0
38794,0.0,14546,1.0
38795,0.0,14546,1.0
38796,0.0,14546,1.0
38797,0.0,14547,1.0
38798,0.0,14548,1.0
38799,0.0,14548,1.0
38800,0.0,14548,1.0
38801,0.0,14549,1.0
38802,0.0,14549,1.0
38803,27.666666666666668,14550,0.0
38804,21.5,14550,0.0
38805,17.5,14550,0.0
38806,0.0,14551,1.0
38807,0.0,14551,1.0
38808,0.0,14551,1.0
38809,0.0,14552,1.0
38810,0.0,14552,1.0
38811,0.0,14552,1.0
38812,0.0,14553,1.0
38813,0.0,14553,1.0
38814,0.0,14554,1.0
38815,0.0,14554,1.0
38816,0.0,14554,1.0
38817,0.0,14555,1.0
38818,6.0,14555,0.0
38819,0.0,14555,1.0
38820,0.0,14556,1.0
38821,0.0,14556,1.0
38822,0.0,14557,1.0
38823,33.5,14557,0.0
38824,0.0,14558,1.0
38825,0.0,14558,1.0
38826,0.0,14559,1.0
38827,0.0,14559,1.0
38828,0.0,14560,1.0
38829,0.0,14560,1.0
38830,0.0,14561,1.0
